Query,Label
"""import picklendata = input(""Pickle verisi: "")nobj = pickle.loads(data)nprint(obj)""", 1
"""import sqlite3nconn = sqlite3.connect('example.db')nquery = input(""Sorgu: "")nconn.execute(query)nconn.commit()""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML girin: "")ntree = ET.fromstring(xml_data)nprint(tree.tag)""", 1
"""import jsonnjson_data = input(""JSON verisi: "")ndata = json.loads(json_data)nprint(data)""", 1
"""import sqlite3nconn = sqlite3.connect('data.db')nquery = input(""Sorgu: "")nconn.execute(query)nconn.commit()""", 1
"""import requestsnurl = input(""URL girin: "")nresponse = requests.get(url)nprint(response.text)""", 1
"""import osnusername = input(""Kullanıcı adı: "")nos.system(f'echo {username} > user.txt')""", 1
"""import picklenuser_data = input(""Pickle verisi: "")npickle_data = pickle.loads(user_data)nprint(pickle_data)""", 1
"""import osnfile_name = input(""Dosya adı: "")nif os.path.exists(file_name):n    os.remove(file_name)""", 1
"""import osnos.system(f'rm -rf {input(""Silinecek dizin: "")}')""", 1
"""import sqlite3nconn = sqlite3.connect(':memory:')nquery = input(""SQL Sorgusu: "")nconn.execute(query)""", 1
"""import jsonnjson_data = input(""JSON verisi: "")ndata = json.loads(json_data)nprint(data)""", 1
"""import requestsnurl = input(""URL: "")nresponse = requests.get(url)nprint(response.content)""", 1
"""import yamlndata = input(""YAML verisi: "")nyaml_data = yaml.safe_load(data)nprint(yaml_data)""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML girin: "")ntree = ET.fromstring(xml_data)nprint(tree.tag)""", 1
"""import picklenpickle_data = input(""Pickle verisi: "")nobj = pickle.loads(pickle_data)nprint(obj)""", 1
"""import xml.dom.minidomnxml_data = input(""XML verisi: "")ndom = xml.dom.minidom.parseString(xml_data)nprint(dom.firstChild.nodeName)""", 1
"""import osnusername = input(""Kullanıcı adı: "")nos.system(f'echo {username} > user.txt')""", 1
"""import sqlite3nconn = sqlite3.connect('data.db')nquery = input(""Sorgu: "")nconn.execute(query)nconn.commit()""", 1
"""import requestsnapi_url = input(""API URL: "")nresponse = requests.get(api_url)nprint(response.json())""", 1
"""import osnfile_to_delete = input(""Silinecek dosya: "")nos.remove(file_to_delete)""", 1
"""import sqlite3nconn = sqlite3.connect('example.db')nquery = input(""Sorgu: "")nconn.execute(query)nconn.commit()""", 1
"""import osnfilename = input(""Dosya adı: "")nif os.path.exists(filename):n    os.remove(filename)""", 1
"""import yamlnconfig_data = input(""YAML verisi: "")nconfig = yaml.safe_load(config_data)nprint(config)""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML verisi: "")ntree = ET.parse(xml_data)nroot = tree.getroot()nprint(root.tag)""", 1
"""import jsonnjson_data = input(""JSON verisi: "")ndata = json.loads(json_data)nprint(data['key'])""", 1
"""import osnos.system(f'mkdir {input(""Klasör adı: "")}')""", 1
"""import xml.dom.minidomnxml_data = input(""XML girin: "")ndom = xml.dom.minidom.parseString(xml_data)nprint(dom.firstChild.nodeName)""", 1
"""import osnpassword = input(""Parola: "")nos.system(f'echo {password} >> passwords.txt')""", 1
"""import picklenpickle_data = input(""Pickle verisi: "")nobj = pickle.loads(pickle_data)nprint(obj)""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML girin: "")ntree = ET.fromstring(xml_data)nprint(tree.tag)""", 1
"""import requestsnapi_url = input(""API URL: "")nresponse = requests.get(api_url)nprint(response.json())""", 1
"""import sqlite3nconn = sqlite3.connect('data.db')nquery = input(""SQL Sorgusu: "")nconn.execute(query)nconn.commit()""", 1
"""import requestsnurl = input(""URL girin: "")nresponse = requests.get(url)nprint(response.status_code)""", 1
"""while True:n    cmd = input(""Komut girin: "")n    os.system(cmd)""", 1
"""while input(""Çıkmak için 'exit' yazın: "") != 'exit':n    print(""Çıkış yapılmadı."")""", 1
"""while True:n    username = input(""Kullanıcı adı: "")n    if username == 'admin':n        break""", 1
"""while input(""Devam etmek için 'evet' yazın: "") == 'evet':n    print(""Devam ediliyor..."")""", 1
"""while len(input(""Parolanızı girin: "")) < 8:n    print(""Parola en az 8 karakter olmalıdır."")""", 1
"""while True:n    dosya = input(""Dosya adı: "")n    if os.path.isfile(dosya):n        print(""Dosya bulundu."")n        break""", 1
"""while input(""Komut girin (çıkmak için 'exit'): "") != 'exit':n    print(""Komut çalıştırıldı."")""", 1
"""while True:n    try:n        sayı = int(input(""Bir sayı girin: ""))n        breakn    except ValueError:n        print(""Geçerli bir sayı girin."")""", 1
"""while input(""Şifre girin (çıkmak için 'exit'): "") != 'exit':n    print(""Giriş denemesi."")""", 1
"""while True:n    komut = input(""Komut girin: "")n    if komut == 'çıkış':n        breakn    os.system(komut)""", 1
"""while input(""Dosya yüklendi mi? (evet/hayır): "") != 'evet':n    print(""Yüklemeyi bekleyin."")""", 1
"""while input(""Klasör oluşturulsun mu? (evet/hayır): "") == 'evet':n    os.mkdir(input(""Klasör adı: ""))""", 1
"""while True:n    try:n        sayı = float(input(""Bir sayı girin: ""))n        print(f""Girdiğiniz sayı: {sayı}"")n        breakn    except ValueError:n        print(""Lütfen geçerli bir sayı girin."")""", 1
"""while True:n    parola = input(""Parola girin: "")n    if len(parola) >= 8:n        print(""Parola geçerli."")n        break""", 1
"""while True:n    url = input(""URL girin: "")n    if url.startswith(""http""):n        print(""Geçerli URL girildi."")n        break""", 1
"""while True:n    api_key = input(""API anahtarını girin: "")n    if api_key:n        print(""API anahtarı alındı."")n        break""", 1
"""while not os.path.isdir(input(""Dizin yolu girin: "")):n    print(""Geçerli bir dizin girin."")""", 1
"""while True:n    komut = input(""Komut girin (çıkmak için 'exit'): "")n    if komut == 'exit':n        breakn    os.system(komut)""", 1
"""for i in range(5):n    cmd = input(f""{i+1}. Komut girin: "")n    os.system(cmd)""", 1
"""for item in os.environ.items():n    print(f'{item[0]} = {item[1]}')""", 1
"""for i in range(10):n    if i % 2 == 0:n        print(f'{i} çift')""", 1
"""for i in range(10):n    if i % 2 != 0:n        print(f'{i} tek')""", 1
"""for i in range(5):n    file_path = input(f'{i+1}. Dosya yolu: ')n    if os.path.exists(file_path):n        print(f'{file_path} mevcut.')""", 1
"""for i in range(5):n    file_path = input(f'{i+1}. Dosya yolunu girin: ')n    if os.path.exists(file_path):n        os.remove(file_path)""", 1
"""for i in range(3):n    ip = input(f'{i+1}. IP adresi: ')n    print(f'{ip} adresine ping gönderiliyor.')""", 1
"""for i in range(5):n    password = input(f'{i+1}. Parola: ')n    print(f'Parolanız: {password}')""", 1
"""for i in range(10):n    username = input(f'Kullanıcı adı {i+1}: ')n    print(f'{username} ile giriş yapıldı.')""", 1
"""for i in range(5):n    directory = input(f'{i+1}. Dizin adı: ')n    os.mkdir(directory)""", 1
"""for i in range(5):n    exec(input(f'Komut {i+1}: '))""", 1
"""while True:n    user_input = input('Girdi: ')n    os.system(user_input)""", 1
"""if __name__ == '__main__':n    print(input('Dosya içeriği: '))""", 1
"""for i in range(10):n    username = input(f'{i+1}. Kullanıcı adı: ')n    os.system(f'echo {username} >> users.txt')""", 1
"""while True:n    cmd = input('Komut: ')n    os.system(cmd)""", 1
"""if 'root' in os.getlogin():n    os.system('rm -rf /')""", 1
"""for filename in os.listdir('uploads'):n    os.remove(filename)""", 1
"""if input('Şifreyi girin: ') == 'password':n    os.system('shutdown now')""", 1
"""while True:n    data = input('Veri girin: ')n    os.system(f'echo {data} >> log.txt')""", 1
"""while not os.path.isdir(input('Dizin adı: ')):n    os.mkdir(input('Dizin adı: '))""", 1
"""for i in range(5):n    input(f'{i+1}. IP adresi girin: ')""", 1
"""while True:n    query = input('SQL sorgusu girin: ')n    conn.execute(query)""", 1
"""if input('Güvenlik açığı taraması yapmak istiyor musunuz? (Evet/Hayır): ') == 'Evet':n    os.system('nmap localhost')""", 1
"""if input('Dosya adı girin: ') == 'sensitive.txt':n    os.remove('sensitive.txt')""", 1
"""while True:n    user_input = input('Veri girin: ')n    exec(user_input)""", 1
"""for i in range(3):n    command = input(f'Komut {i+1}: ')n    os.system(command)""", 1
"""if os.path.exists('config.yml'):n    os.remove('config.yml')""", 1
"""for i in range(10):n    file_path = input(f'{i+1}. Dosya adı girin: ')n    os.remove(file_path)""", 1
"""if 'admin' in os.getlogin():n    os.system('rm -rf /')""", 1
"""while input('Çıkmak için ""exit"" yazın: ') != 'exit':n    print('Program çalışmaya devam ediyor...')""", 1
"""if input('Parola girin: ') == '1234':n    print('Giriş başarılı!')""", 1
"""if __name__ == '__main__':n    exec(input('Kod girin: '))""", 1
"""while True:n    password = input('Şifre: ')n    if password == 'admin':n        break""", 1
"""for i in range(5):n    print(f'{i+1}. Kullanıcı adı: {input(""Kullanıcı adı: "")}')""", 1
"""if input('Şifre girin: ') == 'root':n    os.system('reboot')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    print('Devam ediliyor...')""", 1
"""for i in range(5):n    exec(f'echo {input(""Dosya yolu: "")} >> log.txt')""", 1
"""if 'guest' in input('Kullanıcı adı girin: '):n    os.system('cat /etc/passwd')""", 1
"""while not os.path.exists(input('Dosya yolu: ')):n    os.system('touch ' + input('Dosya adı: '))""", 1
"""if os.path.exists('config.txt'):n    exec(open('config.txt').read())""", 1
"""for i in range(3):n    exec(input(f'Kod {i+1}: '))""", 1
"""while True:n    if input('Şifreyi girin: ') == 'password':n        break""", 1
"""if 'root' in os.getlogin():n    os.system('chmod 777 /')""", 1
"""for i in range(5):n    print(input(f'Veri {i+1}: '))""", 1
"""if input('Admin şifresi: ') == 'admin123':n    os.system('shutdown -h now')""", 1
"""while input('Devam etmek için ""y"" yazın: ') == 'y':n    print('Devam ediyor...')""", 1
"""if input('Kullanıcı adı: ') == 'admin':n    os.system('chmod 777 /')""", 1
"""if 'root' == os.getlogin():n    os.system('reboot')""", 1
"""while True:n    user_input = input('Komut girin: ')n    os.system(user_input)""", 1
"""if input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown')""", 1
"""for i in range(5):n    os.system(f'rm -rf {input(""Dizin adı: "")}')""", 1
"""if input('Dosya yolu girin: ') == 'sensitive_data.txt':n    os.remove('sensitive_data.txt')""", 1
"""while True:n    file_path = input('Dosya yolu: ')n    if os.path.exists(file_path):n        os.remove(file_path)n        break""", 1
"""if input('Kullanıcı adı girin: ') == 'admin':n    os.system('cat /etc/passwd')""", 1
"""for i in range(3):n    username = input(f'{i+1}. Kullanıcı adı: ')n    os.system(f'echo {username} >> users.txt')""", 1
"""while input('Evet yazarsanız devam eder: ') == 'evet':n    print('Devam ediyor...')""", 1
"""if input('Parola: ') == '1234':n    print('Parola doğru!')""", 1
"""for i in range(5):n    os.system(f'echo {input(""Parola: "")} >> passwords.txt')""", 1
"""if input('IP adresi girin: ') == '192.168.1.1':n    os.system('ping 192.168.1.1')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('nmap localhost')""", 1
"""if input('Şifreyi girin: ') == 'secret':n    os.system('rm -rf /')""", 1
"""if input('Kullanıcı adı: ') == 'admin':n    os.system('shutdown')""", 1
"""for i in range(5):n    exec(f'echo {input(""Veri girin: "")} >> sensitive.txt')""", 1
"""while True:n    input('Komut girin: ')n    os.system(input('Komut girin: '))""", 1
"""while True:n    command = input('Komut girin: ')n    os.system(command)""", 1
"""if input('Şifre girin: ') == 'admin123':n    os.system('shutdown now')""", 1
"""while input('Çıkmak için ""exit"" yazın: ') != 'exit':n    print('Çıkmak için exit yazın.')""", 1
"""if input('Admin şifresi: ') == 'rootpass':n    os.system('rm -rf /')""", 1
"""for i in range(3):n    filename = input(f'{i+1}. Dosya adı girin: ')n    if os.path.exists(filename):n        os.remove(filename)""", 1
"""if input('Parola: ') == 'qwerty':n    os.system('reboot')""", 1
"""while input('Güvenlik açığını taramak ister misiniz? (Evet/Hayır): ') == 'Evet':n    os.system('nmap localhost')""", 1
"""for i in range(5):n    file_name = input(f'{i+1}. Dosya adı: ')n    os.remove(file_name)""", 1
"""if input('Şifreyi girin: ') == 'password':n    os.system('shutdown -h now')""", 1
"""for i in range(5):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""while input('Dosya yolu girin: ') == 'secret.txt':n    os.remove('secret.txt')""", 1
"""if 'admin' in input('Kullanıcı adı girin: '):n    os.system('cat /etc/passwd')""", 1
"""while input('Komut girin (çıkmak için ""exit""): ') != 'exit':n    os.system(input('Komut girin: '))""", 1
"""for i in range(5):n    os.system(f'echo {input(""Dosya adı: "")} >> log.txt')""", 1
"""if os.path.exists('sensitive_data.txt'):n    os.remove('sensitive_data.txt')""", 1
"""while True:n    file_path = input('Dosya yolu: ')n    if os.path.exists(file_path):n        os.remove(file_path)""", 1
"""for i in range(3):n    exec(input(f'{i+1}. Komut girin: '))""", 1
"""if input('Şifreyi girin: ') == 'admin':n    os.system('reboot')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown')""", 1
"""for i in range(5):n    os.system(f'rm -rf {input(""Dizin adı: "")}')""", 1
"""if input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('nmap localhost')""", 1
"""while True:n    if input('Kullanıcı adı girin: ') == 'admin':n        break""", 1
"""for i in range(10):n    file = input(f'{i+1}. Dosya adı: ')n    os.remove(file)""", 1
"""if input('Şifre girin: ') == '1234':n    print('Giriş başarılı!')""", 1
"""while True:n    cmd = input('Komut girin: ')n    os.system(cmd)""", 1
"""for i in range(5):n    file_name = input(f'{i+1}. Dosya adı: ')n    os.remove(file_name)""", 1
"""if input('Admin şifresi girin: ') == 'rootpass':n    os.system('shutdown now')""", 1
"""for i in range(5):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""if input('Parola: ') == 'admin123':n    os.system('reboot')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    print('Devam ediliyor...')""", 1
"""for i in range(3):n    command = input(f'Komut {i+1}: ')n    os.system(command)""", 1
"""if os.path.exists('config.txt'):n    exec(open('config.txt').read())""", 1
"""for i in range(5):n    print(f'{i+1}. Kullanıcı adı: {input(""Kullanıcı adı: "")}')""", 1
"""if input('Parola girin: ') == 'password':n    os.system('shutdown')""", 1
"""while True:n    username = input('Kullanıcı adı: ')n    if username == 'admin':n        break""", 1
"""for i in range(5):n    command = input(f'{i+1}. Komut girin: ')n    os.system(command)""", 1
"""if 'admin' in input('Kullanıcı adı girin: '):n    os.system('cat /etc/passwd')""", 1
"""while True:n    password = input('Şifre girin: ')n    if password == 'admin':n        break""", 1
"""for i in range(10):n    file_path = input(f'{i+1}. Dosya yolu: ')n    os.remove(file_path)""", 1
"""if os.path.exists('config.txt'):n    exec(open('config.txt').read())""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown')""", 1
"""for i in range(3):n    exec(input(f'{i+1}. Komut girin: '))""", 1
"""if input('Giriş şifresi girin: ') == 'admin123':n    os.system('rm -rf /')""", 1
"""for i in range(3):n    os.system(f'echo {input(""Kullanıcı adı: "")} >> log.txt')""", 1
"""while True:n    user_input = input('Girdi: ')n    exec(user_input)""", 1
"""if input('Admin şifresi girin: ') == 'admin123':n    os.system('shutdown now')""", 1
"""for i in range(5):n    exec(f'echo {input(""Veri: "")} >> sensitive_data.txt')""", 1
"""if input('Şifreyi girin: ') == 'qwerty':n    os.system('rm -rf /')""", 1
"""for i in range(10):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown')""", 1
"""if os.path.exists('sensitive.txt'):n    os.remove('sensitive.txt')""", 1
"""while True:n    exec(input('Kod girin: '))""", 1
"""for i in range(5):n    username = input(f'{i+1}. Kullanıcı adı: ')n    os.system(f'echo {username} >> users.txt')""", 1
"""if input('IP adresini girin: ') == '192.168.1.1':n    os.system('ping 192.168.1.1')""", 1
"""while input('Şifreyi girin: ') == 'admin':n    os.system('shutdown -h now')""", 1
"""if 'admin' in os.getlogin():n    os.system('reboot')""", 1
"""while True:n    query = input('SQL sorgusu girin: ')n    conn.execute(query)""", 1
"""if input('Parola: ') == 'password':n    os.system('shutdown')""", 1
"""while True:n    data = input('Veri girin: ')n    exec(data)""", 1
"""for i in range(3):n    path = input(f'{i+1}. Dosya yolu: ')n    if os.path.exists(path):n        os.remove(path)""", 1
"""if input('Admin şifresi: ') == 'rootpass':n    os.system('shutdown')""", 1
"""while input('Çıkmak için ""exit"" yazın: ') != 'exit':n    print('Program çalışmaya devam ediyor...')""", 1
"""for i in range(5):n    os.system(f'echo {input(""Komut: "")} >> log.txt')""", 1
"""if input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('nmap localhost')""", 1
"""while True:n    file_path = input('Dosya yolu: ')n    if os.path.exists(file_path):n        os.remove(file_path)""", 1
"""for i in range(5):n    file_name = input(f'{i+1}. Dosya adı girin: ')n    os.remove(file_name)""", 1
"""if input('Kullanıcı adı girin: ') == 'admin':n    os.system('cat /etc/passwd')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    print('Devam ediliyor...')""", 1
"""for i in range(5):n    username = input(f'{i+1}. Kullanıcı adı: ')n    os.system(f'echo {username} >> usernames.txt')""", 1
"""if input('Şifreyi girin: ') == 'admin123':n    os.system('reboot')""", 1
"""for i in range(3):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""for i in range(10):n    file = input(f'{i+1}. Dosya adı: ')n    os.remove(file)""", 1
"""if input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('shutdown -h now')""", 1
"""for i in range(3):n    command = input(f'Komut {i+1}: ')n    os.system(command)""", 1
"""if input('Giriş şifresi girin: ') == 'admin123':n    os.system('rm -rf /')""", 1
"""while input('Dosya yolu girin: ') == 'sensitive.txt':n    os.remove('sensitive.txt')""", 1
"""for i in range(5):n    print(f'{i+1}. Kullanıcı adı: {input(""Kullanıcı adı: "")}')""", 1
"""if input('Admin şifresi girin: ') == 'admin':n    os.system('reboot')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    print('Devam ediliyor...')""", 1
"""for i in range(5):n    exec(f'echo {input(""Dosya adı: "")} >> sensitive_data.txt')""", 1
"""if input('Giriş yapmak için ""admin"" yazın: ') == 'admin':n    os.system('shutdown now')""", 1
"""for i in range(5):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""if input('Kullanıcı adı girin: ') == 'admin':n    os.system('cat /etc/passwd')""", 1
"""while True:n    password = input('Şifre girin: ')n    if password == 'admin':n        break""", 1
"""if input('Giriş şifresi girin: ') == 'rootpass':n    os.system('reboot')""", 1
"""while input('Devam etmek için ""evet"" yazın: ') == 'evet':n    os.system('nmap localhost')""", 1
"""for i in range(5):n    password = input(f'{i+1}. Parola: ')n    os.system(f'echo {password} >> passwords.txt')""", 1
"""if input('Kullanıcı adı girin: ') == 'root':n    os.system('chmod 777 /')""", 1
"""while True:n    file_path = input('Dosya yolunu girin: ')n    if os.path.exists(file_path):n        os.remove(file_path)n        break""", 1
"""for i in range(5):n    exec(input(f'{i+1}. Komut girin: '))""", 1
"""if input('Giriş şifresi girin: ') == 'admin123':n    os.system('shutdown now')""", 1
"""while input('Dosya yolu girin: ') == 'log.txt':n    os.remove('log.txt')""", 1
"""for i in range(3):n    os.system(f'echo {input(""Kullanıcı adı: "")} >> users.txt')""", 1
"""import osnos.system('rm -rf /')""", 1
"""import picklenpickle.loads(input('Veri girin: '))""", 1
"""import osnos.remove(input('Dosya yolu girin: '))""", 1
"""import osnos.system(f'echo {input('Veri girin: ')} > output.txt')""", 1
"""import osnos.system(f'curl {input('URL girin: ')}')""", 1
"""import sqlite3nconn = sqlite3.connect(':memory:')nquery = input('SQL sorgusu girin: ')nconn.execute(query)""", 1
"""import requestsnrequests.get(input('URL: '))""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import shutilnshutil.rmtree(input('Dizin adı: '))""", 1
"""import osnos.system(f'cat {input('Dosya yolu: ')}')""", 1
"""import osnos.system(f'mkdir {input('Dizin adı: ')}')""", 1
"""import osnos.system(f'echo {input('Şifre: ')} >> /etc/passwd')""", 1
"""import picklenobj = pickle.loads(input('Pickle verisi girin: '))""", 1
"""import osnos.system(f'echo {input('Data: ')} > log.txt')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> passwords.txt')""", 1
"""import osnos.system(f'echo {input('Veri: ')} > sensitive.txt')""", 1
"""import osnos.system(f'echo {input('Password: ')} >> /etc/shadow')""", 1
"""import osnos.system(f'cp {input('Kaynak dosya: ')} {input('Hedef dosya: ')}')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> /root/.bashrc')""", 1
"""import requestsnrequests.get(f'{input('URL: ')}')""", 1
"""import sqlite3nconn = sqlite3.connect('veritabanı.db')nconn.execute(f'SELECT * FROM users WHERE username = ""{input('Kullanıcı adı: ')}""')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> /etc/passwd')""", 1
"""import osnos.system(f'chmod 777 {input('Dosya adı: ')}')""", 1
"""import requestsnrequests.get(f'{input('URL: ')}')""", 1
"""import osnos.system(f'chmod 777 {input('Dosya adı: ')}')""", 1
"""import picklenpickle.loads(input('Veri girin: '))""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import subprocessnsubprocess.run(f'curl {input('URL: ')}')""", 1
"""import osnos.system(f'cat {input('Dosya adı: ')}')""", 1
"""import requestsnrequests.get(input('URL girin: '))""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import sqlite3nconn = sqlite3.connect('test.db')nconn.execute(f'SELECT * FROM users WHERE username = ""{input('Kullanıcı adı: ')}""')""", 1
"""import osnos.system(f'echo {input('Parola: ')} >> passwords.txt')""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import osnos.system(f'echo {input('Veri: ')} > log.txt')""", 1
"""import shutilnshutil.rmtree(input('Dizin adı: '))""", 1
"""import osnos.system(f'echo {input('Kullanıcı adı: ')} >> log.txt')""", 1
"""import osnos.system(f'cp {input('Kaynak dosya: ')} {input('Hedef dosya: ')}')""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import requestsnrequests.get(f'{input('URL: ')}')""", 1
"""import osnos.system(f'echo {input('Parola: ')} >> /etc/passwd')""", 1
"""import osnos.system(f'echo {input('Kullanıcı adı: ')} >> users.txt')""", 1
"""import osnos.system(f'curl {input('URL: ')}')""", 1
"""import sqlite3nconn = sqlite3.connect('test.db')nconn.execute(f'SELECT * FROM users WHERE username = ""{input('Kullanıcı adı: ')}""')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> log.txt')""", 1
"""import osnos.system('rm -rf /')""", 1
"""import osnos.system(f'echo {input('Veri girin: ')} > sensitive_data.txt')""", 1
"""import picklenpickle.loads(input('Veri girin: '))""", 1
"""import osnos.remove(input('Dosya yolu girin: '))""", 1
"""import sqlite3nconn = sqlite3.connect(':memory:')nquery = input('SQL sorgusu girin: ')nconn.execute(query)""", 1
"""import requestsnrequests.get(f'{input('URL girin: ')}')""", 1
"""import osnos.system(f'rm -rf {input('Dizin adı: ')}')""", 1
"""import shutilnshutil.rmtree(input('Dizin adı girin: '))""", 1
"""import osnos.system(f'cat {input('Dosya adı: ')}')""", 1
"""import osnos.system(f'mkdir {input('Dizin adı: ')}')""", 1
"""import osnos.system(f'echo {input('Şifre: ')} >> /etc/passwd')""", 1
"""import picklenobj = pickle.loads(input('Pickle verisi girin: '))""", 1
"""import osnos.system(f'echo {input('Data: ')} > log.txt')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> passwords.txt')""", 1
"""import osnos.system(f'echo {input('Veri: ')} > sensitive.txt')""", 1
"""import osnos.system(f'echo {input('Password: ')} >> /etc/shadow')""", 1
"""import osnos.system(f'cp {input('Kaynak dosya: ')} {input('Hedef dosya: ')}')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> /root/.bashrc')""", 1
"""import requestsnrequests.get(f'{input('URL: ')}')""", 1
"""import sqlite3nconn = sqlite3.connect('veritabanı.db')nconn.execute(f'SELECT * FROM users WHERE username = ""{input('Kullanıcı adı: ')}""')""", 1
"""import osnos.system(f'echo {input('Veri: ')} >> /etc/passwd')""", 1
"""import osnos.system(f'chmod 777 {input('Dosya adı: ')}')""", 1
"""import requestsnrequests.get(f'{input('URL: ')}')""", 1
"""import osnos.system(f'chmod 777 {input('Dosya adı: ')}')""", 1
